manager,title,type,fund_name,fund_code,period,publish_date,source_name,url,collected_date,status,notes
刘旭,刘旭基金经理档案,基金经理简介/基金列表,,,,动态更新,天天基金基金经理页,https://fundf10.eastmoney.com/jjjl_000628.html,2026-07-11,已摘录,用于profile.md；含履历、任职基金、基金经理信息
刘旭,大成高鑫股票A基金概况,基金概况,大成高鑫股票A,000628,动态更新,动态更新,天天基金,https://fund.eastmoney.com/000628.html,2026-07-11,待摘录,核心代表基金；后续收持仓和公告
刘旭,大成高鑫股票A基金经理页,基金经理简介,大成高鑫股票A,000628,动态更新,动态更新,天天基金基金档案,https://fundf10.eastmoney.com/jjjl_000628.html,2026-07-11,已摘录,用于确认刘旭履历和任职信息
刘旭,大成高鑫股票A持仓明细,调仓/持仓数据,大成高鑫股票A,000628,2023-2026,动态更新,天天基金基金档案,https://fundf10.eastmoney.com/ccmx_000628.html,2026-07-11,待整理,用于近4季前十大重仓股
刘旭,大成高鑫股票A基金公告,基金定期报告,大成高鑫股票A,000628,2023-2026,动态更新,天天基金基金公告,https://fundf10.eastmoney.com/jjgg_000628_3.html,2026-07-11,待下载PDF,重点下载季报/中报/年报
刘旭,大成优势企业混合A基金概况,基金概况,大成优势企业混合A,008271,动态更新,动态更新,天天基金,https://fund.eastmoney.com/008271.html,2026-07-11,待摘录,第二代表基金；用于对比000628
刘旭,大成优势企业混合A基金经理页,基金经理简介,大成优势企业混合A,008271,动态更新,动态更新,天天基金基金档案,https://fundf10.eastmoney.com/jjjl_008271.html,2026-07-11,待摘录,用于交叉验证刘旭任职信息
刘旭,大成优势企业混合A持仓明细,调仓/持仓数据,大成优势企业混合A,008271,2023-2026,动态更新,天天基金基金档案,https://fundf10.eastmoney.com/ccmx_008271.html,2026-07-11,待整理,用于近4季前十大重仓股
刘旭,大成优势企业混合A基金公告,基金定期报告,大成优势企业混合A,008271,2023-2026,动态更新,天天基金基金公告,https://fundf10.eastmoney.com/jjgg_008271_3.html,2026-07-11,待下载PDF,重点下载季报/中报/年报
刘旭,大成核心价值甄选混合A基金概况,基金概况,大成核心价值甄选混合A,010929,动态更新,动态更新,天天基金,https://fund.eastmoney.com/010929.html,2026-07-11,待摘录,补充代表基金；时间够再做
刘旭,大成核心价值甄选混合型证券投资基金2025年第3季度报告,基金定期报告,大成核心价值甄选混合A,010929,2025Q3,2025-10-28,基金定期报告PDF,https://fund.eastmoney.com/gonggao/010929,AN202510281770462666.html,2026-07-11,已下载,用于corpus和fund_data
刘旭,大成核心价值甄选混合型证券投资基金2025年第4季度报告,基金定期报告,大成核心价值甄选混合A,010929,2025Q4,2026-01-22,基金定期报告PDF,https://fund.eastmoney.com/gonggao/010929,AN202601221818251131.html,2026-07-11,已下载,用于corpus和fund_data
刘旭,大成核心价值甄选混合型证券投资基金2025年中期报告,基金中期报告,大成核心价值甄选混合A,010929,2025H1,2025-08-29,基金定期报告PDF,https://fund.eastmoney.com/gonggao/010929,AN202508291736330745.html,2026-07-11,已下载,重点用于corpus；含较完整投资策略和宏观展望
刘旭,大成核心价值甄选混合型证券投资基金2025年年度报告,基金定期报告,大成核心价值甄选混合A,010929,2025Y,2026-03-31,基金定期报告PDF,https://fund.eastmoney.com/gonggao/010929,AN202603311820899905.html,2026-07-11,已下载,重点用于corpus；含年度反思和组合表现
刘旭,大成核心价值甄选混合型证券投资基金2026年第1季度报告,基金定期报告,大成核心价值甄选混合A,010929,2026Q1,2026-04-22,基金定期报告PDF,https://fund.eastmoney.com/gonggao/010929,AN202604221821422339.html,2026-07-11,已下载,用于近4季持仓和业绩跟踪
刘旭,大成优势企业混合型证券投资基金2024年年度报告,基金定期报告,大成优势企业混合A,008271,2024Y,2025-03-31,基金定期报告PDF,https://fund.eastmoney.com/gonggao/008271,AN202503311649467694.html,2026-07-11,已下载,本地文件：2024年度(2).pdf；用于corpus和fund_data
刘旭,大成优势企业混合型证券投资基金2025年第1季度报告,基金定期报告,大成优势企业混合A,008271,2025Q1,2025-04-22,基金定期报告PDF,https://fund.eastmoney.com/gonggao/008271,AN202504221660343923.html,2026-07-11,已下载,本地文件：2025.1(2).pdf；用于corpus和fund_data
刘旭,大成优势企业混合型证券投资基金2025年第2季度报告,基金定期报告,大成优势企业混合A,008271,2025Q2,2025-07-21,基金定期报告PDF,https://fund.eastmoney.com/gonggao/008271,AN202507211712817702.html,2026-07-11,已下载,本地文件：2025.2(2).pdf；用于corpus和fund_data
刘旭,大成优势企业混合型证券投资基金2025年第3季度报告,基金定期报告,大成优势企业混合A,008271,2025Q3,2025-10-28,基金定期报告PDF,https://fund.eastmoney.com/gonggao/008271,AN202510281770462422.html,2026-07-11,已下载,本地文件：2025.3(2).pdf；用于corpus和fund_data
刘旭,大成优势企业混合型证券投资基金2025年第4季度报告,基金定期报告,大成优势企业混合A,008271,2025Q4,2026-01-22,基金定期报告PDF,https://fund.eastmoney.com/gonggao/008271,AN202601221818253685.html,2026-07-11,已下载,本地文件：2025.4(1).pdf；用于corpus和fund_data
刘旭,大成优势企业混合型证券投资基金2025年中期报告,基金中期报告,大成优势企业混合A,008271,2025H1,2025-08-29,基金定期报告PDF,https://fund.eastmoney.com/gonggao/008271,AN202508291736327927.html,2026-07-11,已下载,本地文件：2025中期.pdf；重点用于corpus；含投资策略和宏观展望
刘旭,大成优势企业混合型证券投资基金2025年年度报告,基金定期报告,大成优势企业混合A,008271,2025Y,2026-03-31,基金定期报告PDF,https://fund.eastmoney.com/gonggao/008271,AN202603311820900254.html,2026-07-11,已下载,本地文件：2025年度(1).pdf；重点用于corpus和fund_data
刘旭,大成优势企业混合型证券投资基金2026年第1季度报告,基金定期报告,大成优势企业混合A,008271,2026Q1,2026-04-22,基金定期报告PDF,https://fund.eastmoney.com/gonggao/008271,AN202604221821422713.html,2026-07-11,已下载,本地文件：2026.1(1).pdf；用于近4季持仓和业绩跟踪
刘旭,刘旭476万自购基金业绩透露新信号，业绩徘徊期或是布局良机！,媒体报道/第三方研究,大成高鑫股票A,000628,2025,2025-11-20,腾讯新闻/市值风云,https://news.qq.com/rain/a/20251120A05WY500,2026-07-11,已核验,用于补充价值风格、短期业绩承压、不追热点和持仓特征；第三方观点需谨慎使用
刘旭,刘旭基金经理资料页,基金经理资料,刘旭,N/A,2026,2026-06-27,好买基金网,https://www.howbuy.com/fund/manager/30345547,2026-07-11,已核验,用于profile和fund_list；含履历、投资年限、管理规模、在管产品数量
刘旭,刘旭与大成：长期主义筑基，让持有人拥有真实获得感,媒体报道/访谈整理,刘旭,N/A,2026,2026-04-01,新浪财经/晓资管,https://finance.sina.com.cn/wm/2026-04-01/doc-inhsxzph1599650.shtml,2026-07-11,已核验,重点语料；用于制造业能力圈、深度研究、风控、安全边际、长期主义
刘旭,研值有道刘旭价值投资相关访谈/文章,媒体报道/第三方转载,刘旭,N/A,待补充,待补充,雪球/研值有道,https://xueqiu.com/9453695222/294070911,2026-07-11,截图已保存待核验,网页正文暂未完全抓取；可根据截图补充价值投资、徐彦影响、职业目标等语料
刘旭,刘旭基金经理资料页,基金经理资料,刘旭,N/A,2026,待补充,新浪财经基金经理页,https://stock.finance.sina.com.cn/manager/view/mInfo.php?mid=30345547,2026-07-11,截图已保存待核验,用于profile和历史业绩；网页抓取不稳定，可结合截图记录
刘旭,交出“非凡十年”答卷！珍惜这位“神级”基金经理,媒体报道/第三方研究,大成高鑫股票A,000628,2025,2025-07-29,搜狐/花椒财经,https://www.sohu.com/a/918756009_100299066,2026-07-11,已核验,用于补充十年业绩、价值风格、低换手、持仓集中和长期持有特征；避免使用营销化标题措辞
